,10percentage,12percentage,CollegeTier,collegeGPA,CollegeCityTier,English,Logical,Quant,Domain,ComputerProgramming,ElectronicsAndSemicon,ComputerScience,MechanicalEngg,ElectricalEngg,TelecomEngg,CivilEngg,conscientiousness,agreeableness,extraversion,nueroticism,openess_to_experience,SubjectCount,SubjectTotal,Age,YOE,Enc_Designation,Enc_Gender,Enc_Degree,Enc_Specialization,Enc_CollegeState,enc_City_Type,Salary_Class
0,84.3,95.8,2,78.0,0,515,585,525,1,1,0,0,0,0,0,0,0.9737,0.8128,0.5269,1.3549,-0.4455,2,0.9002305379294782,25.9,3.6,295,0,0,10,0,1.0,Good
1,85.4,85.0,2,70.06,0,695,610,780,1,0,1,0,0,0,0,0,-0.7335,0.3789,1.2396,-0.1076,0.8637,2,1.2373253422583357,26.3,2.3,17,1,0,20,13,1.0,Average
2,85.0,68.2,2,70.0,0,615,545,370,1,1,0,0,0,0,0,0,0.2718,1.7109,0.1637,-0.8682,0.6721,2,0.68543715455471,23.4,1.6,340,0,0,32,23,1.0,Good
3,85.6,83.6,1,74.64,1,635,585,625,1,1,0,0,0,0,0,0,0.0464,0.3448,-0.344,-0.4078,-0.9194,2,1.3395980127759277,26.1,4.5,300,1,0,10,4,1.0,Average
4,78.0,76.8,2,73.9,0,545,625,465,1,0,1,0,0,0,0,0,-0.880999999999999,-0.2793,-1.0697,0.0916299999999999,-0.1295,2,0.26286311914017835,24.9,1.0,122,1,0,20,23,0.0,Low
5,89.92,87.0,2,76.32,0,560,555,620,0,1,0,1,0,0,0,0,-0.3027,-0.6201,-2.2954,-0.7415,-0.8608,2,0.6247030878859858,23.5,1.6,340,1,0,20,11,1.0,Good
6,86.08,67.5,2,72.98,1,590,435,380,1,1,0,1,0,0,0,0,1.7081,-0.1054,-1.0379,-2.0092,-1.0872,3,0.8024984829738813,22.9,0.7,156,1,0,13,11,1.0,Good
7,92.0,91.0,1,8.58,0,545,555,590,1,0,0,0,1,0,0,0,-0.0154,1.2114,0.01,0.1459,1.247,2,1.1080881627384351,23.6,1.0,185,1,0,38,20,1.0,Good
8,90.0,91.2,1,85.03,1,615,670,530,1,1,1,0,0,0,0,0,-0.159,0.5454,-0.6048,-0.7415,-0.2859,3,1.3482798027678453,24.3,2.5,89,1,0,22,4,0.0,Average
9,77.0,72.2,2,78.0,1,605,565,545,1,1,1,0,0,0,0,0,-1.308,0.5454,-0.9122,0.9066,0.0973,3,0.914617764973247,22.6,1.5,230,1,0,20,25,1.0,Low
10,88.6,83.7,2,74.9,0,565,455,565,1,1,0,0,0,0,0,0,0.0464,0.8128,0.0914,0.1798,0.0284,2,1.053678331827835,26.5,4.0,291,1,0,10,13,1.0,Average
11,81.0,86.0,1,72.29,0,495,605,715,1,1,0,0,0,0,0,0,-2.272,1.1248,0.8171,-0.4078,-0.4455,2,1.3275011538477877,25.9,3.2,301,1,0,32,13,1.0,Good
12,83.6,69.83,2,60.0,0,380,580,470,1,0,1,0,0,0,1,0,0.1282,0.5454,-0.7585,-0.995,0.8637,3,0.5097667905412087,25.1,2.1,241,1,0,19,14,1.0,Good
13,60.8,62.4,2,60.0,0,495,425,645,1,1,1,0,0,0,0,0,0.3555,0.0328,-0.598,-0.2902,-1.2354,3,0.9647526887095617,25.2,2.0,238,1,0,20,7,1.0,Low
14,81.2,79.9,2,67.67,0,395,565,645,0,1,0,1,0,0,0,0,0.7027,0.7119,0.01,-0.995,0.6721,2,0.5172209026128266,23.5,2.5,156,1,0,33,23,1.0,Good
15,69.54,64.43,2,63.0,0,485,520,355,1,1,0,0,0,0,0,0,1.7465,1.9048,0.672,-0.2902,1.2528,2,0.5192081838104268,26.0,2.4,189,0,0,32,23,1.0,Good
16,85.8,74.8,2,64.8,0,685,530,620,0,1,0,0,0,0,0,0,1.1336,1.0449,0.7785,-0.6147,-0.8608,1,0.30581947743467935,23.6,1.3,217,1,0,20,23,0.0,Good
17,60.8,66.66,2,74.74,1,465,585,515,1,1,0,1,0,0,0,0,0.8463,1.0449,-1.0659,-1.6289,0.6721,3,1.531941596681114,28.3,1.1,28,1,3,9,4,1.0,Low
18,65.0,64.8,2,69.54,0,465,495,515,1,1,0,0,0,0,0,0,-0.159,0.3789,1.3933,-0.2344,1.4386,2,0.815643120578711,23.1,0.4,68,1,0,13,23,1.0,Low
19,79.0,62.2,2,76.3,0,485,445,435,1,1,0,0,0,0,0,0,0.8192,0.2668,-0.2714,-0.4078,-0.1295,2,1.1764431330850493,25.1,1.3,321,0,0,10,23,1.0,Good
20,91.2,84.63,2,78.15,0,455,535,445,1,1,0,0,0,0,0,0,-0.1082,0.9688,0.5269,-0.2902,0.3444,2,0.9002305379294782,27.5,1.8,321,0,0,10,11,1.0,Good
21,75.67,74.4,2,74.01,0,385,555,445,1,1,0,0,0,0,0,0,-1.0355,-0.5913,-1.3599,0.0622299999999999,-1.3539,2,0.9002305379294782,24.4,1.3,321,0,0,32,23,1.0,Low
22,92.5,95.2,2,76.0,0,395,455,485,0,1,0,0,0,0,0,0,-0.4463,-0.6201,-0.6048,0.7798,-2.7769,1,0.27019002375296913,24.0,1.5,81,1,0,20,21,1.0,Low
23,70.0,43.42,2,55.52,1,370,360,270,1,0,1,0,0,0,0,0,-0.7335,-2.1186,-1.9881,-0.4879,-5.0763,2,0.8607911400248383,29.4,0.7,91,1,0,20,11,1.0,Low
24,88.0,90.0,2,76.0,1,625,555,630,1,1,0,1,0,0,0,0,0.4155,0.8027,0.1357,-0.995,-0.6692,3,0.8440661789358764,22.5,1.0,225,1,0,13,21,1.0,Good
25,86.8,82.8,2,78.0,0,575,585,575,1,1,0,1,0,0,0,0,0.0464,1.2028,-0.9245,0.5323,-0.2875,3,1.340364054721528,24.8,3.3,339,0,0,13,7,1.0,Good
26,90.88,82.5,2,66.15,0,415,335,405,1,1,1,0,1,0,0,1,0.8192,0.1888,-1.7954,1.8249,1.1343,5,1.7754526778645188,27.9,2.8,300,1,0,10,16,1.0,Good
27,76.8,83.0,2,76.44,0,535,510,605,1,0,1,0,0,0,0,0,0.99,1.3779,0.7785,-0.2344,-0.6692,2,1.1310262453021485,22.9,0.3,12,1,0,20,23,1.0,Good
28,84.0,68.0,2,72.0,0,580,570,385,1,1,1,0,0,0,1,0,0.1282,0.7119,1.3933,-0.3612,-0.0943,4,0.7465845687675423,22.0,0.2,357,1,0,20,23,0.0,Low
29,84.0,92.0,2,77.2,0,475,405,695,1,1,0,0,0,0,0,0,-0.4173,0.6568,-0.0537,-1.2303,-0.9194,2,0.9409331751860961,26.3,4.1,340,1,0,10,0,1.0,Average
30,77.2,86.1,2,71.0,0,560,485,450,1,1,0,1,0,0,0,0,-0.0154,1.2114,1.0859,-1.5021,0.2889,3,1.1523341272513632,23.2,0.7,321,1,0,13,20,1.0,Good
31,87.0,84.4,1,79.3,1,570,475,295,1,1,0,0,0,0,0,0,-0.7335,-0.4536,-1.0659,1.1601,-0.4776,2,0.6424605835790969,24.3,2.2,9,0,0,10,4,0.0,Good
32,73.0,68.4,2,74.3,1,560,530,605,1,1,0,1,0,0,0,0,-0.7335,0.5454,-0.7585,-0.6147,1.4386,3,1.4725591738782637,24.0,1.2,144,1,0,32,25,1.0,Low
33,71.0,68.0,2,70.86,0,430,510,405,1,1,0,1,0,0,0,0,1.5644,1.0449,0.3174,-1.8824,1.0554,3,0.8381279366555914,26.4,1.0,105,0,0,13,23,1.0,Low
34,85.0,61.0,2,64.98,0,570,475,430,0,0,0,0,0,0,0,0,-0.4854,-0.5213,2.1129,-0.735,1.8224,0,0.0,25.3,1.8,194,0,0,20,17,0.0,Good
35,91.5,93.8,1,74.1,1,380,535,530,1,1,0,0,0,0,0,0,-1.0208,0.2124,0.4711,0.2727,-0.0943,2,0.7723596388838839,23.4,2.8,321,0,0,10,21,1.0,Good
36,77.0,85.4,2,63.9,0,475,605,415,1,1,1,0,0,0,0,0,0.2718,0.5454,0.3174,-1.8824,-0.4776,3,1.1191046792172372,22.9,4.5,83,1,0,20,17,1.0,Low
37,52.33,67.0,2,77.15,0,450,525,545,1,1,0,0,0,0,0,0,-0.0154,1.2114,0.6248,0.7798,0.8637,2,1.017862217538195,24.3,2.0,29,1,3,9,23,1.0,Good
38,88.0,89.66,2,76.4,0,510,640,635,1,0,1,0,0,0,0,0,0.3941,1.2808,0.2366,-2.1998,-0.4455,2,0.26286311914017835,24.9,0.4,175,1,0,20,12,1.0,Low
39,66.6,68.6,2,60.22,0,425,595,475,1,0,0,0,1,0,0,0,-0.4173,0.3448,0.0914,-0.4078,0.6603,2,0.300275464935726,26.7,0.8,315,1,0,38,23,0.0,Low
40,75.0,60.0,2,66.0,0,380,545,460,1,1,0,1,0,0,0,0,-0.8772,-1.1196,-1.0659,-1.2486,-1.4356,3,0.7965602406935961,23.7,0.2,319,1,0,13,23,1.0,Low
41,91.4,73.0,1,71.0,0,555,560,825,1,1,0,1,0,0,0,0,-0.0154,0.2578,-0.5349,-1.1218,-1.359,3,0.736615191381513,24.1,1.4,29,1,0,32,23,1.0,Good
42,59.0,87.7,2,71.04,1,300,340,355,1,1,1,0,0,0,0,0,-0.0154,-2.4516,-0.4511,0.2727,-3.1602,3,0.33957411754231986,22.5,1.0,0,1,0,20,21,1.0,Low
43,84.5,82.5,2,92.1,0,425,525,515,1,1,0,0,0,0,0,0,0.51,0.6568,-0.6343,0.2973,0.1864,2,0.6002355049352299,27.0,2.9,225,0,0,10,11,1.0,Good
44,95.8,87.16,2,79.0,0,430,395,500,1,0,0,0,1,0,0,0,-0.5899,-1.1196,0.4711,-0.7415,-1.4356,2,0.2171982361940418,23.2,0.3,220,1,0,38,20,1.0,Low
45,85.6,82.0,2,74.01,0,370,495,455,1,1,0,1,0,0,0,0,0.1282,0.5454,0.1637,-0.4879,0.8637,3,0.494544592504445,24.3,1.8,160,0,0,13,7,0.0,Low
46,69.6,71.4,2,77.0,0,485,415,575,1,0,0,0,0,0,0,0,-0.4173,0.6568,-0.7794,1.7074,0.1864,1,0.925645767094482,23.9,1.0,319,1,0,10,16,1.0,Low
